condition,case,category,wer,wder,sub,del,ins,ref_words,hyp_words
model_largev2,RES0109,RES,0.1571100917431192,0.0658227848101265,40,82,15,872,805
model_largev2,RES0118,RES,0.1253822629969418,0.0056818181818181,18,101,4,981,884
model_largev2,RES0123,RES,0.1563034797490017,0.0109254498714652,52,197,25,1753,1581
model_largev2,RES0127,RES,0.1695988740323715,0.0156806842480399,77,18,146,1421,1549
model_largev2,RES0132,RES,0.1344356578001437,0.0024174053182917,28,150,9,1391,1250
model_largev2,RES0134,RES,0.1177484204480183,0.0025236593059936,27,156,22,1741,1607
model_largev2,RES0143,RES,0.1792207792207792,0.0090361445783132,37,159,11,1155,1007
model_largev2,RES0155,RES,0.1515353805073431,0.0182456140350877,75,73,79,1498,1504
model_largev2,RES0160,RES,0.1364046973803071,0.003883495145631,49,77,25,1107,1055
model_largev2,RES0163,RES,0.1157804459691252,0.0090744101633393,31,64,40,1166,1142
model_largev2,RES0173,RES,0.1597051597051597,0.0112847222222222,94,69,32,1221,1184
model_largev2,RES0207,RES,0.1453416149068323,0.0490066225165562,46,50,21,805,776
compute_fp16,CAR0002,CAR,0.2403755868544601,0.1144749290444654,72,8,176,1065,1233
compute_fp16,DER0001,DER,0.1697986577181208,0.0151933701657458,99,42,112,1490,1560
compute_fp16,GAS0007,GAS,0.1659142212189616,0.0378874856486796,55,15,77,886,948
compute_fp16,GEN0001,GEN,0.1093892433910665,0.0169332079021636,48,34,38,1097,1101
compute_fp16,MSK0008,MSK,0.1950704225352112,0.0172413793103448,122,86,69,1420,1403
compute_fp16,MSK0013,MSK,0.2083597213426219,0.011038961038961,117,39,173,1579,1713
compute_fp16,MSK0017,MSK,0.1916666666666666,0.0360824742268041,164,54,127,1800,1873
compute_fp16,MSK0025,MSK,0.1620734908136483,0.0309139784946236,75,36,136,1524,1624
compute_fp16,MSK0026,MSK,0.2137573964497041,0.0281368821292775,89,37,163,1352,1478
compute_fp16,MSK0041,MSK,0.132183908045977,0.0033602150537634,91,78,38,1566,1526
compute_fp16,MSK0046,MSK,0.1469648562300319,0.0122050447518307,71,23,90,1252,1319
